animeID, name, title_english, title_japanese, title_synonyms, type, source, producers, genre, studio, episodes, status, airing, aired, duration, rating, score, scored_by, rank, popularity, members, favorites, synopsis, background, premiered, broadcast, related
1,Cowboy Bebop,Cowboy Bebop,カウボーイビバップ,[],TV,Original,['Bandai Visual'],"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",['Sunrise'],26,Finished Airing,FALSE,"{'from': '1998-04-03T00:00:00+00:00', 'to': '1999-04-24T00:00:00+00:00', 'prop': {'from': {'day': 3, 'month': 4, 'year': 1998}, 'to': {'day': 24, 'month': 4, 'year': 1999}}, 'string': 'Apr 3, 1998 to Apr 24, 1999'}",24 min per ep,R - 17+ (violence & profanity),8.81,405664,26,39,795733,43460,"In the year 2071, humanity has colonized several of the planets and moons of the solar system leaving the now uninhabitable surface of planet Earth behind. The Inter Solar System Police attempts to keep peace in the galaxy, aided in part by outlaw bounty hunters, referred to as ""Cowboys."" The ragtag team aboard the spaceship Bebop are two such individuals. Mellow and carefree Spike Spiegel is balanced by his boisterous, pragmatic partner Jet Black as the pair makes a living chasing bounties and collecting rewards. Thrown off course by the addition of new members that they meet in their travels—Ein, a genetically engineered, highly intelligent Welsh Corgi; femme fatale Faye Valentine, an enigmatic trickster with memory loss; and the strange computer whiz kid Edward Wong—the crew embarks on thrilling adventures that unravel each member's dark and mysterious past little by little. Well-balanced with high density action and light-hearted comedy, Cowboy Bebop is a space Western classic and an homage to the smooth and improvised music it is named after. [Written by MAL Rewrite]","When Cowboy Bebop first aired in spring of 1998 on TV Tokyo, only episodes 2, 3, 7-15, and 18 were broadcast, it was concluded with a recap special known as Yose Atsume Blues. This was due to anime censorship having increased following the big controversies over Evangelion, as a result most of the series was pulled from the air due to violent content. Satellite channel WOWOW picked up the series in the fall of that year and aired it in its entirety uncensored. Cowboy Bebop was not a ratings hit in Japan, but sold over 19,000 DVD units in the initial release run, and 81,000 overall. Protagonist Spike Spiegel won Best Male Character, and Megumi Hayashibara won Best Voice Actor for her role as Faye Valentine in the 1999 and 2000 Anime Grand Prix, respectively.Cowboy Bebop's biggest influence has been in the United States, where it premiered on Adult Swim in 2001 with many reruns since. The show's heavy Western influence struck a chord with American viewers, where it became a ""gateway drug"" to anime aimed at adult audiences.",Spring 1998,Saturdays at 01:00 (JST),"{'Adaptation': [{'mal_id': 173, 'type': 'manga', 'name': 'Cowboy Bebop', 'url': 'https://myanimelist.net/manga/173/Cowboy_Bebop'}, {'mal_id': 174, 'type': 'manga', 'name': 'Shooting Star Bebop: Cowboy Bebop', 'url': 'https://myanimelist.net/manga/174/Shooting_Star_Bebop__Cowboy_Bebop'}], 'Side story': [{'mal_id': 5, 'type': 'anime', 'name': 'Cowboy Bebop: Tengoku no Tobira', 'url': 'https://myanimelist.net/anime/5/Cowboy_Bebop__Tengoku_no_Tobira'}, {'mal_id': 17205, 'type': 'anime', 'name': 'Cowboy Bebop: Ein no Natsuyasumi', 'url': 'https://myanimelist.net/anime/17205/Cowboy_Bebop__Ein_no_Natsuyasumi'}], 'Summary': [{'mal_id': 4037, 'type': 'anime', 'name': 'Cowboy Bebop: Yose Atsume Blues', 'url': 'https://myanimelist.net/anime/4037/Cowboy_Bebop__Yose_Atsume_Blues'}]}"
5,Cowboy Bebop: Tengoku no Tobira,Cowboy Bebop: The Movie,カウボーイビバップ 天国の扉,"[""Cowboy Bebop: Knockin' on Heaven's Door""]",Movie,Original,"['Sunrise', 'Bandai Visual']","['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Space']",['Bones'],1,Finished Airing,FALSE,"{'from': '2001-09-01T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': None, 'month': None, 'year': None}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Sep 1, 2001'}",1 hr 55 min,R - 17+ (violence & profanity),8.41,120243,164,449,197791,776,"Another day, another bounty—such is the life of the often unlucky crew of the Bebop. However, this routine is interrupted when Faye, who is chasing a fairly worthless target on Mars, witnesses an oil tanker suddenly explode, causing mass hysteria. As casualties mount due to a strange disease spreading through the smoke from the blast, a whopping three hundred million woolong price is placed on the head of the supposed perpetrator. With lives at stake and a solution to their money problems in sight, the Bebop crew springs into action. Spike, Jet, Faye, and Edward, followed closely by Ein, split up to pursue different leads across Alba City. Through their individual investigations, they discover a cover-up scheme involving a pharmaceutical company, revealing a plot that reaches much further than the ragtag team of bounty hunters could have realized. [Written by MAL Rewrite]",,,,"{'Parent story': [{'mal_id': 1, 'type': 'anime', 'name': 'Cowboy Bebop', 'url': 'https://myanimelist.net/anime/1/Cowboy_Bebop'}]}"
6,Trigun,Trigun,トライガン,[],TV,Manga,['Victor Entertainment'],"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Drama', 'Shounen']",['Madhouse'],26,Finished Airing,FALSE,"{'from': '1998-04-01T00:00:00+00:00', 'to': '1998-09-30T00:00:00+00:00', 'prop': {'from': {'day': 1, 'month': 4, 'year': 1998}, 'to': {'day': 30, 'month': 9, 'year': 1998}}, 'string': 'Apr 1, 1998 to Sep 30, 1998'}",24 min per ep,PG-13 - Teens 13 or older,8.3,212537,255,146,408548,10432,"Vash the Stampede is the man with a $$60,000,000,000 bounty on his head. The reason: he's a merciless villain who lays waste to all those that oppose him and flattens entire cities for fun, garnering him the title ""The Humanoid Typhoon."" He leaves a trail of death and destruction wherever he goes, and anyone can count themselves dead if they so much as make eye contact—or so the rumors say. In actuality, Vash is a huge softie who claims to have never taken a life and avoids violence at all costs. With his crazy doughnut obsession and buffoonish attitude in tow, Vash traverses the wasteland of the planet Gunsmoke, all the while followed by two insurance agents, Meryl Stryfe and Milly Thompson, who attempt to minimize his impact on the public. But soon, their misadventures evolve into life-or-death situations as a group of legendary assassins are summoned to bring about suffering to the trio. Vash's agonizing past will be unraveled and his morality and principles pushed to the breaking point. [Written by MAL Rewrite]","The Japanese release by Victor Entertainment has different openings relating to the specific episode it's played on. The initial Geneon Entertainment USA (then known as Pioneer) releases on VHS and DVD (singles, Signature Series, and box set) used only the first opening on each episode. This was due to the Japanese licensor providing them clean materials for only the first opening to put the English credits on. Geneon later fixed this mistake on their Limited Edition tin releases in 2005/2006, as well as on the Remix singles. Following Geneon USA's demise in late 2007, the show went out of print. When FUNimation Entertainment picked up the show in 2010 and released it, they repeated Geneon's mistake of using only the first opening on every episode. This mistake was later fixed in 2013 on the Anime Classics re-release.",Spring 1998,Thursdays at 01:15 (JST),"{'Adaptation': [{'mal_id': 703, 'type': 'manga', 'name': 'Trigun', 'url': 'https://myanimelist.net/manga/703/Trigun'}], 'Side story': [{'mal_id': 4106, 'type': 'anime', 'name': 'Trigun: Badlands Rumble', 'url': 'https://myanimelist.net/anime/4106/Trigun__Badlands_Rumble'}]}"
7,Witch Hunter Robin,Witch Hunter Robin,Witch Hunter ROBIN,['WHR'],TV,Original,['Bandai Visual'],"['Action', 'Magic', 'Police', 'Supernatural', 'Drama', 'Mystery']",['Sunrise'],26,Finished Airing,FALSE,"{'from': '2002-07-02T00:00:00+00:00', 'to': '2002-12-24T00:00:00+00:00', 'prop': {'from': {'day': 2, 'month': 7, 'year': 2002}, 'to': {'day': 24, 'month': 12, 'year': 2002}}, 'string': 'Jul 2, 2002 to Dec 24, 2002'}",25 min per ep,PG-13 - Teens 13 or older,7.33,32837,2371,1171,79397,537,"Witches are individuals with special powers like ESP, telekinesis, mind control, etc. Robin, a 15-year-old craft user, arrives from Italy to Japan to work for an organization named STN Japan Division (STN-J) as a replacement for one of STN-J's witch hunters who was recently killed. Unlike other divisions of STN, STN-J tries to capture the witches alive in order to learn why and how they became witches in the first place. (Source: ANN)",,Summer 2002,Tuesdays at Unknown,{}
8,Bouken Ou Beet,Beet the Vandel Buster,冒険王ビィト,['Adventure King Beet'],TV,Manga,"['TV Tokyo', 'Dentsu']","['Adventure', 'Fantasy', 'Shounen', 'Supernatural']",['Toei Animation'],52,Finished Airing,FALSE,"{'from': '2004-09-30T00:00:00+00:00', 'to': '2005-09-29T00:00:00+00:00', 'prop': {'from': {'day': 30, 'month': 9, 'year': 2004}, 'to': {'day': 29, 'month': 9, 'year': 2005}}, 'string': 'Sep 30, 2004 to Sep 29, 2005'}",23 min per ep,PG - Children,7.03,4894,3544,3704,11708,14,"It is the dark century and the people are suffering under the rule of the devil, Vandel, who is able to manipulate monsters. The Vandel Busters are a group of people who hunt these devils, and among them, the Zenon Squad is known to be the strongest busters on the continent. A young boy, Beet, dreams of joining the Zenon Squad. However, one day, as a result of Beet's fault, the Zenon squad was defeated by the devil, Beltose. The five dying busters sacrificed their life power into their five weapons, Saiga. After giving their weapons to Beet, they passed away. Years have passed since then and the young Vandel Buster, Beet, begins his adventure to carry out the Zenon Squad's will to put an end to the dark century.",,Fall 2004,Thursdays at 18:30 (JST),"{'Adaptation': [{'mal_id': 1348, 'type': 'manga', 'name': 'Boukenou Beet', 'url': 'https://myanimelist.net/manga/1348/Boukenou_Beet'}], 'Sequel': [{'mal_id': 1123, 'type': 'anime', 'name': 'Bouken Ou Beet Excellion', 'url': 'https://myanimelist.net/anime/1123/Bouken_Ou_Beet_Excellion'}]}"
16,Hachimitsu to Clover,Honey and Clover,ハチミツとクローバー,"['HachiKuro', 'Honey & Clover']",TV,Manga,"['Genco', 'Fuji TV', 'Shueisha']","['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']",['J.C.Staff'],24,Finished Airing,FALSE,"{'from': '2005-04-15T00:00:00+00:00', 'to': '2005-09-27T00:00:00+00:00', 'prop': {'from': {'day': 15, 'month': 4, 'year': 2005}, 'to': {'day': 27, 'month': 9, 'year': 2005}}, 'string': 'Apr 15, 2005 to Sep 27, 2005'}",23 min per ep,PG-13 - Teens 13 or older,8.12,57065,419,536,172274,3752,"Yuuta, Takumi, and Shinobu share a six-tatami room apartment with no bath. The rent is low and it's perfect for poor college students such as themselves. Shinobu is a mysterious, quirky person, who does things on a whim. Takumi is passionate both in work and love, and Yuuta is a simple person with simple dreams and desires. That is, until he meets Hagumi, a petite girl with enormous amount of talent. Hagumi is fondly called Hagu by Shuuji, who serves as Hagu's guardian. Hagu meets Ayumi, nicknamed Ayu, and they become close friends almost instantly. Meanwhile, Ayu falls for one of the boys... The joys of falling in love, the pain of letting go, discovering one's self, and finding the courage to move on—these are some of the things that the characters in Hachimitsu to Clover experience as they take part in the play staged by fate.",Hachimitsu to Clover was the first anime to air on Fuji Television's noitaminA block.,Spring 2005,Fridays at 00:35 (JST),"{'Adaptation': [{'mal_id': 1009, 'type': 'manga', 'name': 'Hachimitsu to Clover', 'url': 'https://myanimelist.net/manga/1009/Hachimitsu_to_Clover'}], 'Side story': [{'mal_id': 644, 'type': 'anime', 'name': 'Hachimitsu to Clover Specials', 'url': 'https://myanimelist.net/anime/644/Hachimitsu_to_Clover_Specials'}], 'Sequel': [{'mal_id': 1142, 'type': 'anime', 'name': 'Hachimitsu to Clover II', 'url': 'https://myanimelist.net/anime/1142/Hachimitsu_to_Clover_II'}]}"
17,Hungry Heart: Wild Striker,,ハングリーハート Wild Striker,[],TV,Manga,[],"['Slice of Life', 'Comedy', 'Sports', 'Shounen']",['Nippon Animation'],52,Finished Airing,FALSE,"{'from': '2002-09-11T00:00:00+00:00', 'to': '2003-09-10T00:00:00+00:00', 'prop': {'from': {'day': 11, 'month': 9, 'year': 2002}, 'to': {'day': 10, 'month': 9, 'year': 2003}}, 'string': 'Sep 11, 2002 to Sep 10, 2003'}",23 min per ep,PG-13 - Teens 13 or older,7.67,9307,1186,3124,17145,210,"Kyosuke Kano has lived under the shadow of his successful brother Seisuke all his life who is a professional soccer player. Tired of being compared and downgraded at, he abandoned playing soccer until a boy from his new highschool discovered him and asked him to join their team. Kyosuke joins it and befriends two other first year players named Rodrigo and Sakai with the dream of becoming professional soccer players themselves. (Source: ANN)",,Fall 2002,Wednesdays at Unknown,"{'Adaptation': [{'mal_id': 4147, 'type': 'manga', 'name': 'Hungry Heart', 'url': 'https://myanimelist.net/manga/4147/Hungry_Heart'}]}"
18,Initial D Fourth Stage,,頭文字〈イニシャル〉D FOURTH STAGE,['Initial D 4th Stage'],TV,Manga,"['OB Planning', 'Studio Jack']","['Action', 'Cars', 'Sports', 'Drama', 'Seinen']",['A.C.G.T.'],24,Finished Airing,FALSE,"{'from': '2004-04-17T00:00:00+00:00', 'to': '2006-02-18T00:00:00+00:00', 'prop': {'from': {'day': 17, 'month': 4, 'year': 2004}, 'to': {'day': 18, 'month': 2, 'year': 2006}}, 'string': 'Apr 17, 2004 to Feb 18, 2006'}",27 min per ep,PG-13 - Teens 13 or older,8.23,42555,298,1262,73438,635,"Takumi Fujiwara and brothers Keisuke and Ryousuke Takahashi have formed ""Project D,"" a racing team aimed at bringing their driving skills to their full potential outside their prefecture. Using the internet, Project D issues challenges to other racing teams and posts results of their races. Managed by Ryousuke, the team has Takumi engaging in downhill battles with his AE86, while Keisuke challenges opponents uphill. Among their rivals are the Seven-Star Leaf (SSR) and Todo-juku.",,Spring 2004,Unknown,"{'Adaptation': [{'mal_id': 375, 'type': 'manga', 'name': 'Initial D', 'url': 'https://myanimelist.net/manga/375/Initial_D'}], 'Prequel': [{'mal_id': 187, 'type': 'anime', 'name': 'Initial D Third Stage', 'url': 'https://myanimelist.net/anime/187/Initial_D_Third_Stage'}], 'Summary': [{'mal_id': 3931, 'type': 'anime', 'name': 'Initial D Battle Stage 2', 'url': 'https://myanimelist.net/anime/3931/Initial_D_Battle_Stage_2'}], 'Side story': [{'mal_id': 5228, 'type': 'anime', 'name': 'Initial D Extra Stage 2', 'url': 'https://myanimelist.net/anime/5228/Initial_D_Extra_Stage_2'}], 'Sequel': [{'mal_id': 15059, 'type': 'anime', 'name': 'Initial D Fifth Stage', 'url': 'https://myanimelist.net/anime/15059/Initial_D_Fifth_Stage'}]}"
19,Monster,Monster,モンスター,[],TV,Manga,"['VAP', 'Shogakukan Productions', 'Nippon Television Network']","['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller']",['Madhouse'],74,Finished Airing,FALSE,"{'from': '2004-04-07T00:00:00+00:00', 'to': '2005-09-28T00:00:00+00:00', 'prop': {'from': {'day': 7, 'month': 4, 'year': 2004}, 'to': {'day': 28, 'month': 9, 'year': 2005}}, 'string': 'Apr 7, 2004 to Sep 28, 2005'}",24 min per ep,R+ - Mild Nudity,8.69,131233,49,156,394387,19188,"Dr. Kenzo Tenma, an elite neurosurgeon recently engaged to his hospital director's daughter, is well on his way to ascending the hospital hierarchy. That is until one night, a seemingly small event changes Dr. Tenma's life forever. While preparing to perform surgery on someone, he gets a call from the hospital director telling him to switch patients and instead perform life-saving brain surgery on a famous performer. His fellow doctors, fiancee, and the hospital director applaud his accomplishment; but because of the switch, a poor immigrant worker is dead, causing Dr. Tenma to have a crisis of conscience. So when a similar situation arises, Dr. Tenma stands his ground and chooses to perform surgery on the young boy Johan Liebert instead of the town's mayor. Unfortunately, this choice leads to serious ramifications for Dr. Tenma—losing his social standing being one of them. However, with the mysterious death of the director and two other doctors, Dr. Tenma's position is restored. With no evidence to convict him, he is released and goes on to attain the position of hospital director. Nine years later when Dr. Tenma saves the life of a criminal, his past comes back to haunt him—once again, he comes face to face with the monster he operated on. He must now embark on a quest of pursuit to make amends for the havoc spread by the one he saved. [Written by MAL Rewrite]",,Spring 2004,Wednesdays at 00:40 (JST),"{'Adaptation': [{'mal_id': 1, 'type': 'manga', 'name': 'Monster', 'url': 'https://myanimelist.net/manga/1/Monster'}], 'Summary': [{'mal_id': 1109, 'type': 'anime', 'name': 'Monster Extra: Hottan', 'url': 'https://myanimelist.net/anime/1109/Monster_Extra__Hottan'}]}"
20,Naruto,Naruto,ナルト,['NARUTO'],TV,Manga,"['TV Tokyo', 'Aniplex', 'Shueisha']","['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']",['Studio Pierrot'],220,Finished Airing,FALSE,"{'from': '2002-10-03T00:00:00+00:00', 'to': '2007-02-08T00:00:00+00:00', 'prop': {'from': {'day': 3, 'month': 10, 'year': 2002}, 'to': {'day': 8, 'month': 2, 'year': 2007}}, 'string': 'Oct 3, 2002 to Feb 8, 2007'}",23 min per ep,PG-13 - Teens 13 or older,7.9,716412,705,10,1091313,39356,"Moments prior to Naruto Uzumaki's birth, a huge demon known as the Kyuubi, the Nine-Tailed Fox, attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the Kyuubi's rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto. Now, Naruto is a hyperactive and knuckle-headed ninja still living in Konohagakure. Shunned because of the Kyuubi inside him, Naruto struggles to find his place in the village, while his burning desire to become the Hokage of Konohagakure leads him not only to some great new friends, but also some deadly foes. [Written by MAL Rewrite]","Naruto received numerous awards during its airing, including the ""Best Full-Length Animation Program Award"" in the Third UStv Awards and the 38th ""Best Animated Show"" in IGN's Top 100 Animated Series.",Fall 2002,Thursdays at 19:30 (JST),"{'Adaptation': [{'mal_id': 11, 'type': 'manga', 'name': 'Naruto', 'url': 'https://myanimelist.net/manga/11/Naruto'}], 'Side story': [{'mal_id': 442, 'type': 'anime', 'name': 'Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!', 'url': 'https://myanimelist.net/anime/442/Naruto_Movie_1__Dai_Katsugeki_Yuki_Hime_Shinobu_Houjou_Dattebayo'}, {'mal_id': 594, 'type': 'anime', 'name': 'Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!', 'url': 'https://myanimelist.net/anime/594/Naruto__Takigakure_no_Shitou_-_Ore_ga_Eiyuu_Dattebayo'}, {'mal_id': 761, 'type': 'anime', 'name': 'Naruto: Akaki Yotsuba no Clover wo Sagase', 'url': 'https://myanimelist.net/anime/761/Naruto__Akaki_Yotsuba_no_Clover_wo_Sagase'}, {'mal_id': 936, 'type': 'anime', 'name': 'Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!', 'url': 'https://myanimelist.net/anime/936/Naruto_Movie_2__Dai_Gekitotsu_Maboroshi_no_Chiteiiseki_Dattebayo'}, {'mal_id': 1074, 'type': 'anime', 'name': 'Naruto Narutimate Hero 3: Tsuini Gekitotsu! Jounin vs. Genin!! Musabetsu Dairansen taikai Kaisai!!', 'url': 'https://myanimelist.net/anime/1074/Naruto_Narutimate_Hero_3__Tsuini_Gekitotsu_Jounin_vs_Genin_Musabetsu_Dairansen_taikai_Kaisai'}, {'mal_id': 2144, 'type': 'anime', 'name': 'Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panikku Dattebayo!', 'url': 'https://myanimelist.net/anime/2144/Naruto_Movie_3__Dai_Koufun_Mikazuki_Jima_no_Animaru_Panikku_Dattebayo'}, {'mal_id': 7367, 'type': 'anime', 'name': 'Naruto: The Cross Roads', 'url': 'https://myanimelist.net/anime/7367/Naruto__The_Cross_Roads'}], 'Sequel': [{'mal_id': 1735, 'type': 'anime', 'name': 'Naruto: Shippuuden', 'url': 'https://myanimelist.net/anime/1735/Naruto__Shippuuden'}]}"
